date,state,total_enrolments,age_0_5,age_5_17,age_18_greater,num_districts,total_bio_updates,bio_age_5_17,bio_age_17_,total_demo_updates,demo_age_5_17,demo_age_17_,total_updates
2025-04-01,Puducherry,0.0,0.0,0.0,0.0,0.0,5642.0,1747.0,3895.0,0.0,0.0,0.0,5642.0
2025-04-01,Punjab,5753.0,3951.0,1155.0,647.0,17.0,212563.0,79601.0,132962.0,24839.0,1893.0,22946.0,237402.0
2025-04-01,Rajasthan,16842.0,11907.0,4141.0,794.0,51.0,376914.0,146156.0,230758.0,137361.0,16546.0,120815.0,514275.0
2025-04-01,Sikkim,176.0,67.0,88.0,21.0,2.0,4536.0,2428.0,2108.0,0.0,0.0,0.0,4536.0
2025-04-01,Tamil Nadu,499.0,358.0,95.0,46.0,4.0,491490.0,214780.0,276710.0,42690.0,4126.0,38564.0,534180.0
2025-04-01,Telangana,634.0,487.0,82.0,65.0,5.0,142160.0,64734.0,77426.0,27034.0,3617.0,23417.0,169194.0
2025-04-01,Tripura,286.0,165.0,81.0,40.0,3.0,47615.0,27603.0,20012.0,0.0,0.0,0.0,47615.0
2025-04-01,Uttar Pradesh,57903.0,32513.0,23189.0,2201.0,120.0,1257448.0,859000.0,398448.0,180864.0,18441.0,162423.0,1438312.0
2025-04-01,Uttarakhand,1276.0,998.0,204.0,74.0,2.0,73472.0,33481.0,39991.0,35002.0,4526.0,30476.0,108474.0
2025-04-01,West Bengal,4268.0,2873.0,1014.0,381.0,22.0,250432.0,96513.0,153919.0,38336.0,2956.0,35380.0,288768.0
2025-05-01,Andaman And Nicobar Islands,0.0,0.0,0.0,0.0,0.0,1895.0,982.0,913.0,0.0,0.0,0.0,1895.0
2025-05-01,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,500660.0,340643.0,160017.0,155804.0,24392.0,131412.0,656464.0
2025-05-01,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,8305.0,4121.0,4184.0,0.0,0.0,0.0,8305.0
2025-05-01,Assam,13197.0,5170.0,5609.0,2418.0,89.0,83841.0,52863.0,30978.0,1428.0,176.0,1252.0,85269.0
2025-05-01,Bihar,31651.0,13251.0,17159.0,1241.0,62.0,552199.0,283915.0,268284.0,10192.0,768.0,9424.0,562391.0
2025-05-01,Chandigarh,0.0,0.0,0.0,0.0,0.0,6566.0,3424.0,3142.0,12143.0,2338.0,9805.0,18709.0
2025-05-01,Chhattisgarh,1406.0,945.0,270.0,191.0,4.0,266716.0,50698.0,216018.0,68269.0,6011.0,62258.0,334985.0
2025-05-01,Dadra And Nagar Haveli And Daman And Diu,0.0,0.0,0.0,0.0,0.0,5248.0,2175.0,3073.0,0.0,0.0,0.0,5248.0
2025-05-01,Delhi,5581.0,3687.0,1514.0,380.0,15.0,187658.0,75023.0,112635.0,131986.0,18132.0,113854.0,319644.0
2025-05-01,Goa,0.0,0.0,0.0,0.0,0.0,8728.0,4251.0,4477.0,0.0,0.0,0.0,8728.0
2025-05-01,Gujarat,14294.0,9005.0,3615.0,1674.0,70.0,452907.0,212970.0,239937.0,130821.0,14688.0,116133.0,583728.0
2025-05-01,Haryana,3696.0,3039.0,601.0,56.0,4.0,170812.0,61904.0,108908.0,114481.0,15613.0,98868.0,285293.0
2025-05-01,Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,32054.0,11421.0,20633.0,1136.0,136.0,1000.0,33190.0
2025-05-01,Jammu And Kashmir,268.0,191.0,55.0,22.0,2.0,77298.0,36095.0,41203.0,20528.0,3992.0,16536.0,97826.0
2025-05-01,Jharkhand,0.0,0.0,0.0,0.0,0.0,232396.0,99271.0,133125.0,3546.0,320.0,3226.0,235942.0
2025-05-01,Karnataka,5491.0,2835.0,1758.0,898.0,33.0,354026.0,185952.0,168074.0,107081.0,20199.0,86882.0,461107.0
2025-05-01,Kerala,380.0,201.0,148.0,31.0,3.0,247491.0,128235.0,119256.0,0.0,0.0,0.0,247491.0
2025-05-01,Ladakh,0.0,0.0,0.0,0.0,0.0,552.0,236.0,316.0,0.0,0.0,0.0,552.0
2025-05-01,Lakshadweep,0.0,0.0,0.0,0.0,0.0,701.0,330.0,371.0,0.0,0.0,0.0,701.0
2025-05-01,Madhya Pradesh,10603.0,7221.0,3018.0,364.0,23.0,779064.0,469737.0,309327.0,263262.0,40292.0,222970.0,1042326.0
2025-05-01,Maharashtra,9849.0,6706.0,2352.0,791.0,45.0,947776.0,300215.0,647561.0,90731.0,9959.0,80772.0,1038507.0
2025-05-01,Manipur,291.0,120.0,116.0,55.0,3.0,15802.0,8029.0,7773.0,0.0,0.0,0.0,15802.0
2025-05-01,Meghalaya,17380.0,3660.0,7682.0,6038.0,55.0,11226.0,3883.0,7343.0,0.0,0.0,0.0,11226.0
2025-05-01,Mizoram,737.0,475.0,154.0,108.0,5.0,7920.0,4733.0,3187.0,490.0,76.0,414.0,8410.0
2025-05-01,Nagaland,666.0,303.0,326.0,37.0,2.0,14167.0,2606.0,11561.0,0.0,0.0,0.0,14167.0
2025-05-01,Odisha,0.0,0.0,0.0,0.0,0.0,295436.0,137928.0,157508.0,0.0,0.0,0.0,295436.0
2025-05-01,Puducherry,0.0,0.0,0.0,0.0,0.0,6619.0,2863.0,3756.0,453.0,86.0,367.0,7072.0
2025-05-01,Punjab,3767.0,2540.0,1002.0,225.0,10.0,194508.0,65415.0,129093.0,40724.0,4010.0,36714.0,235232.0
2025-05-01,Rajasthan,2961.0,1992.0,904.0,65.0,5.0,324061.0,127873.0,196188.0,72904.0,6845.0,66059.0,396965.0
2025-05-01,Sikkim,0.0,0.0,0.0,0.0,0.0,2972.0,1544.0,1428.0,0.0,0.0,0.0,2972.0
2025-05-01,Tamil Nadu,420.0,322.0,64.0,34.0,3.0,492262.0,222396.0,269866.0,27469.0,3958.0,23511.0,519731.0
2025-05-01,Telangana,911.0,736.0,154.0,21.0,2.0,167061.0,95442.0,71619.0,27506.0,4641.0,22865.0,194567.0
2025-05-01,Tripura,0.0,0.0,0.0,0.0,0.0,29969.0,13829.0,16140.0,0.0,0.0,0.0,29969.0
2025-05-01,Uttar Pradesh,49861.0,26928.0,21554.0,1379.0,81.0,1048878.0,703440.0,345438.0,183385.0,18003.0,165382.0,1232263.0
2025-05-01,Uttarakhand,624.0,477.0,135.0,12.0,1.0,62922.0,26291.0,36631.0,26726.0,3101.0,23625.0,89648.0
2025-05-01,West Bengal,9582.0,5538.0,3500.0,544.0,32.0,289260.0,127514.0,161746.0,75222.0,7157.0,68065.0,364482.0
2025-06-01,Andaman And Nicobar Islands,0.0,0.0,0.0,0.0,0.0,1944.0,845.0,1099.0,0.0,0.0,0.0,1944.0
2025-06-01,Andhra Pradesh,1574.0,928.0,433.0,213.0,10.0,508472.0,327497.0,180975.0,132318.0,22824.0,109494.0,640790.0
2025-06-01,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,7138.0,3399.0,3739.0,0.0,0.0,0.0,7138.0
2025-06-01,Assam,9734.0,4878.0,3401.0,1455.0,68.0,71576.0,39419.0,32157.0,2445.0,195.0,2250.0,74021.0
2025-06-01,Bihar,46386.0,16160.0,28223.0,2003.0,90.0,494457.0,239119.0,255338.0,0.0,0.0,0.0,494457.0
2025-06-01,Chandigarh,0.0,0.0,0.0,0.0,0.0,5230.0,2184.0,3046.0,7637.0,841.0,6796.0,12867.0
2025-06-01,Chhattisgarh,1263.0,608.0,439.0,216.0,4.0,359914.0,83928.0,275986.0,379443.0,27315.0,352128.0,739357.0
2025-06-01,Dadra And Nagar Haveli And Daman And Diu,249.0,188.0,49.0,12.0,1.0,4118.0,1547.0,2571.0,0.0,0.0,0.0,4118.0
2025-06-01,Delhi,8161.0,5327.0,2371.0,463.0,18.0,136102.0,51352.0,84750.0,139698.0,16863.0,122835.0,275800.0
